evaluations raw_y
5824 0.9437818189
5861 0.7496402834
6067 0.6079211122
6105 0.5201302995
6173 0.4691914017
6444 0.3863131922
6493 0.3164945524
6579 0.2708592762
7176 0.2135144205
7245 0.1670646601
7663 0.1529773302
7692 0.0968960017
8490 0.0866963071
8608 0.0860829870
8693 0.0841235953
8769 0.0702114856
8878 0.0634383388
8969 0.0592132040
9194 0.0550891182
9320 0.0533397562
9354 0.0493674777
9595 0.0449466096
9641 0.0398112045
9829 0.0381828617
9960 0.0348221525
10427 0.0328550854
10622 0.0325813740
10663 0.0304494665
10787 0.0285400226
10800 0.0279805446
10917 0.0262640089
11206 0.0244076107
11416 0.0244023848
11632 0.0236260768
11745 0.0229670757
11748 0.0216291750
12319 0.0212406722
12404 0.0210614947
12775 0.0205675785
12814 0.0203400588
13369 0.0200834682
13487 0.0199779014
13604 0.0199477563
13668 0.0198886637
13811 0.0197333465
13885 0.0197089368
13979 0.0195515753
14448 0.0195382007
14525 0.0195297773
14529 0.0194030472
14642 0.0192380592
14672 0.0192094620
14960 0.0191807029
15034 0.0191146467
15259 0.0190829579
15268 0.0190457789
15309 0.0189215832
15582 0.0188825137
15917 0.0188811622
16230 0.0188797728
16320 0.0188765204
16329 0.0188734384
16460 0.0188734062
16500 0.0188685426
16514 0.0188397551
16693 0.0188395858
16877 0.0188306900
16955 0.0188247351
17128 0.0188232962
17171 0.0188103281
17239 0.0187940609
17266 0.0187826112
17691 0.0187798618
17694 0.0187760314
17950 0.0187731920
18068 0.0187678485
18633 0.0187673478
18727 0.0187671131
18728 0.0187589506
18903 0.0187581795
19126 0.0187574087
19216 0.0187549740
19567 0.0187531497
19648 0.0187530320
19679 0.0187494274
20386 0.0187485892
20502 0.0187482023
20940 0.0187480310
21009 0.0187478179
21099 0.0187471632
21146 0.0187461264
21659 0.0187459918
22247 0.0187458515
22518 0.0187458498
22662 0.0187457594
22962 0.0187457342
22991 0.0187456339
23056 0.0187456166
23131 0.0187456057
23153 0.0187454823
23469 0.0187454156
23555 0.0187453947
23610 0.0187453940
23674 0.0187453378
23908 0.0187452890
23939 0.0187452727
24032 0.0187452353
24206 0.0187452120
24377 0.0187451712
24801 0.0187451463
24927 0.0187451220
25046 0.0187451045
25308 0.0187450974
25590 0.0187450956
25698 0.0187450869
25801 0.0187450782
25936 0.0187450509
26234 0.0187450483
26286 0.0187450443
26374 0.0187450390
26421 0.0187450362
27207 0.0187450342
27344 0.0187450331
27384 0.0187450323
27395 0.0187450300
27427 0.0187450297
27646 0.0187450295
27662 0.0187450294
27744 0.0187450289
27901 0.0187450280
27914 0.0187450239
28173 0.0187450227
28228 0.0187450225
28282 0.0187450222
28340 0.0187450220
28344 0.0187450215
28398 0.0187450210
28480 0.0187450202
28686 0.0187450200
28687 0.0187450198
28806 0.0187450192
28999 0.0187450182
